,name,user_ratings_total,rating,latitude,longitude
0,ΑΣΦΑΛΕΙΕΣ ΠΑΤΡΑ,0,0.0,38.2316058,21.746859
1,ΑΣΦΑΛΕΙΕΣ ΑΡΓΥΡΟΣ - ΑΣΦΑΛΙΣΤΙΚΟ ΓΡΑΦΕΙΟ - ΠΑΤΡΑ,7,5.0,38.24584,21.730863
2,ΤΣΑΦΟΣ ΝΕΟΚΛΗΣ - ΑΜΙ ΜΕΣΙΤΕΣ ΑΣΦΑΛΕΙΩΝ - ΑΣΦΑΛΕΙΕΣ ΠΑΤΡΑ - ΑΣΦΑΛΙΣΤΙΚΗ ΕΤΑΙΡΕΙΑ - ΠΑΤΡΑ,7,5.0,38.2100069,21.7141134
3,Ασφάλειες Σπαθής,1,5.0,38.24503929999999,21.7353773
4,Ντεμίρης Κωννος,3,4.7,38.2435219,21.7296059
5,"TRYFAS ATHANASIOS EE, INSURANCE",12,4.1,38.2401401,21.7408088
6,ΒΟΥΤΣΙΝΑΣ ΕΥΑΓΓΕΛΟΣ - ΑΣΦΑΛΕΙΕΣ - ΜΕΣΙΤΕΙΕΣ - ΠΑΤΡΑ,2,5.0,38.2653723,21.755627
7,Support Brokers S.A.,0,0.0,38.2345139,21.7276574
8,Ασφαλειες Φωτης Ηλ. Ιατρου,36,4.6,38.2194167,21.7387715
9,"Ntakolias, Spyros, & Associates E.E.",0,0.0,38.2368637,21.7342012
10,Ασφάλειες Αλεξανδρόπουλος,1,5.0,38.206007,21.7371264
11,ΑΣΦΑΛΕΙΕΣ ΜΑΡΚΟΠΟΥΛΟΣ,1,5.0,38.2371178,21.7369359
12,ΑΣΦΑΛΕΙΕΣ ΧΑΡΩΝΗΣ,0,0.0,38.2610351,21.7485426
13,ΑΣΦΑΛΙΣΤΙΚΟ ΓΡΑΦΕΙΟ ΠΑΤΡΑ ΓΕΩΡΓΙΑΔΟΥ - ΑΒΡΑΜΗΣ,5,4.8,38.2334207,21.727574
14,"Georgiou, Dimitrios & Dimitra, O.E.",0,0.0,38.2484621,21.7346986
15,"ΚΑΛΟΓΕΡΗΣ ΝΙΚΟΛΑΟΣ ""ΝΑΥΤΙΛΙΑΚΗ ΠΑΤΡΩΝ""",1,5.0,38.2453277,21.7305094
16,ΓΙΑΝΝΟΥΛΗΣ ΝΕΟΚΛΗΣ,0,0.0,38.2450706,21.7315819
17,Οικονομικές Ασφα-λύσεις,9,4.9,38.245696,21.737396
18,ΠΑΝΤΑΖΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ,5,4.8,38.2476601,21.7376341
19,Spathis Evangelos Insurance Office,3,5.0,38.2449825,21.7353676
40,Best Brokers - Ασφαλιστικός Όμιλος Α. Ντακόλια - Πάτρα,5,4.4,38.250465,21.738704
41,Organismos Ellinikon Georgikon Asfalisseon,8,4.0,38.2740725,21.7559842
42,Oga,14,1.4,38.2639182,21.7541514
44,ΟΤΕ ΑΣΦΑΛΙΣΗ,0,0.0,38.217317,21.7420065
45,IKA - Social Insurance Institute,29,3.5,38.2561191,21.739832
47,ΕΦΚΑ - ΤΣΜΕΔΕ Πάτρας,0,0.0,38.24629789999999,21.7311227
49,Ο.Α.Ε.Ε.,7,1.6,38.2499197,21.740679
50,Eurowest,3,4.7,38.2323141,21.7441386
51,Best Brokers - Ασφάλειες Οχημάτων & Υγείας,0,0.0,38.2504654,21.7387037
52,Ασφάλειες Κατσαρού,0,0.0,38.24661469999999,21.7362171
54,Interamerican,12,4.1,38.2425829,21.7346225
55,Intersalonika,4,3.5,38.2338682,21.7458815
56,ΠΑΡΑΣΚΕΥΗ ΜΑΡΟΥΛΑ - ΤΣΑΡΟΥΧΗ,0,0.0,38.24823689999999,21.7356241
57,Atlantic Union S.A.,2,4.5,38.245691,21.735139
58,MILIONIS GEORGE,0,0.0,38.2458523,21.7350845
59,Ιατρικός Σύλλογος Πάτρας,24,4.8,38.244852,21.73343
